Name,Performance Year,Basic EPS Based On Continuous operations,Basic EPS Based On Including Extra-Ordinary Income,Basic EPS (restated) Based On Continuous operations,Basic EPS (restated) Based On Including Extra-Ordinary Income,Net Asset Value Per Share,Restated Net Asset Value Per Share,Net Profit After Tax Continuous operations (mn),Net Profit After Tax Including Extra-Ordinary Income (mn),% Dividend,% Dividend Yield
AAMRA NETWORKS LIMITED,2024,2.46,0,0,0,37.01,0,228.75,0,10%C,3.01
AAMRA NETWORKS LIMITED,2023,3.64,0,0,0,38.11,0,225.67,0,11%C,1.55
AAMRA NETWORKS LIMITED,2022,1.85,0,0,0,36.7,0,109.29,0,"5%C, 5%B",0
AAMRA NETWORKS LIMITED,2021,2.14,0,0,0,37.09,0,120.39,0,"5%C, 5%B",1.23
AAMRA NETWORKS LIMITED,2020,3.19,0,0,0,35.95,0,179.45,0,10%C,3.01
AAMRA TECHNOLOGIES LTD.,2024,-0.12,0,0,0,21.73,0,-7.91,0,1%C,0.46
AAMRA TECHNOLOGIES LTD.,2023,0.7,0,0,0,22.85,0,45.23,0,10%C,2.72
AAMRA TECHNOLOGIES LTD.,2022,1.78,0,0,0,24.09,0,108.48,0,"6%C,6%B",1.82
AAMRA TECHNOLOGIES LTD.,2021,1.45,0,0,0,23.93,0,84.09,0,"5%C,5%B",1.91
AAMRA TECHNOLOGIES LTD.,2020,1.46,0,0,0,23.48,0,85.11,0,10%C,4.35
AB BANK 1ST MUTUAL FUND,2023,0.06,0,0,0,10.57,0,13.84,0,5%C,9.43
AB BANK 1ST MUTUAL FUND,2022,0.31,0,0,0,11.21,0,73.07,0,7%C,12.73
AB BANK 1ST MUTUAL FUND,2021,2.61,0,0,0,11.97,0,623.38,0,8%C,11.94
AB BANK 1ST MUTUAL FUND,2020,-1.8,0,0,0,9.1,0,-429.88,0,,0
AB BANK 1ST MUTUAL FUND,2020,-1.8,0,0,0,9.1,0,-429.88,0,,0
AB BANK PLC.,2023,1.02,0,0,0,29.58,0,893.74,0,2%B,0
AB BANK PLC.,2022,0.83,0,0,0,29.92,0,714.35,0,2%B,0
AB BANK PLC.,2021,0.86,0,0,0,30.59,0,716.8,0,"2%C,3%B",1.65
AB BANK PLC.,2020,0.5,0,0,0,32.26,0,394.08,0,5%B,0
AB BANK PLC.,2019,0.16,0,0,0,31.71,0,123.25,0,5%B,0
ACI FORMULATIONS PLC,2024,6.88,0,0,0,68.94,0,324.94,0,20%C,1.68
ACI FORMULATIONS PLC,2023,4.97,0,0,0,64.57,0,234.92,0,25%C,1.6
ACI FORMULATIONS PLC,2022,5.14,0,0,0,65.88,0,242.88,0,25%C,1.58
ACI FORMULATIONS PLC,2021,4.74,0,0,0,66.77,0,213.46,0,"30%C,5%B",2.02
ACI FORMULATIONS PLC,2020,2.06,0,0,0,53.38,0,92.73,0,20%C,1.81
ACME PESTICIDES LIMITED,2024,-0.76,0,0,0,17.58,0,-102.75,0,0.25%C,0.17
ACME PESTICIDES LIMITED,2023,0.96,0,0,0,18.35,0,129.99,0,0.10%C,0.03
ACME PESTICIDES LIMITED,2022,1.51,0,0,0,17.99,0,188.8,0,5%C,1.47
ACME PESTICIDES LIMITED,2021,2.12,0,1.65,0,18.48,16.59,222.09,0,,0
ADN TELECOM LIMITED,2024,2.31,0,0,0,31.35,0,149.47,0,10%C,1.08
ADN TELECOM LIMITED,2023,4,0,0,0,30.54,0,258.56,0,15%C,1.15
ADN TELECOM LIMITED,2022,2.59,0,0,0,27.56,0,167.63,0,10%C,1.52
ADN TELECOM LIMITED,2021,2.57,0,0,0,25.97,0,165.86,0,10%C,2.02
ADN TELECOM LIMITED,2020,2.86,0,0,0,25.27,0,161.47,0,15%C,4.67
ADVANCED CHEMICAL INDUSTRIES PLC.,2024,-18.25,0,0,0,91.17,0,-1394.67,0,"20%C,15%B",1.54
ADVANCED CHEMICAL INDUSTRIES PLC.,2023,-6.48,0,0,0,113.67,0,-493.96,0,40%C,1.53
ADVANCED CHEMICAL INDUSTRIES PLC.,2022,12.3,0,0,0,141.98,0,893,0,"50%C,5%B",1.9
ADVANCED CHEMICAL INDUSTRIES PLC.,2021,5.5,0,0,0,162.65,0,347.17,0,"65%C,15%B",2.46
ADVANCED CHEMICAL INDUSTRIES PLC.,2020,-18.45,0,0,0,137.67,0,-1058.76,0,"80%C,10%B",3.92
ADVENT PHARMA LTD.,2024,0.9,0,0,0,15.78,0,83.99,0,1%C,0.39
ADVENT PHARMA LTD.,2023,1.06,0,0,0,15.02,0,98.64,0,2%C,0.76
ADVENT PHARMA LTD.,2022,1.05,0,0,0,14.1,0,97.53,0,2%C,0.8
ADVENT PHARMA LTD.,2021,1.24,0,0,0,13.52,0,113.59,0,"2%C,2%B",0.8
ADVENT PHARMA LTD.,2020,1.41,0,0,0,13.5,0,117.05,0,10%B,0
AFC AGRO BIOTECH LIMITED,2022,0.22,0,0,0,18.19,0,25.63,0,0.5%C,0.2
AFC AGRO BIOTECH LIMITED,2021,0.15,0,0,0,18,0,17.64,0,0.5%C,0.25
AFC AGRO BIOTECH LIMITED,2020,0.32,0,0,0,17.85,0,36.51,0,,0
AFC AGRO BIOTECH LIMITED,2019,3.22,0,0,0,19.29,0,337.4,0,10%B,0
AFC AGRO BIOTECH LIMITED,2018,3.92,0,0,0,18.47,0,356.78,0,15%B,0
AFTAB AUTOMOBILES LIMITED,2024,-1.41,0,0,0,49.64,0,-148.3,0,10%C,3.36
AFTAB AUTOMOBILES LIMITED,2023,0.04,0,0,0,51.76,0,4.12,0,10%C,3.76
AFTAB AUTOMOBILES LIMITED,2022,0.01,0,0,0,54.88,0,1.09,0,"5%C, 5%B",0.02
AFTAB AUTOMOBILES LIMITED,2021,-1.94,0,0,0,57.89,0,-185.51,0,"5%C,5%B",3.58
AFTAB AUTOMOBILES LIMITED,2020,0.09,0,0,0,60.2,0,8.41,0,10%C,4.24
AGNI SYSTEMS PLC.,2024,1.15,0,0,0,16.62,0,83.31,0,4.8%C,1.9
AGNI SYSTEMS PLC.,2023,1.13,0,0,0,15.95,0,81.8,0,4.75%C,1.6
AGNI SYSTEMS PLC.,2022,1.01,0,0,0,15.27,0,72.96,0,4.5%C,1.93
AGNI SYSTEMS PLC.,2021,0.77,0,0,0,14.62,0,55.86,0,3.5%C,1.76
AGNI SYSTEMS PLC.,2020,0.31,0,0,0,14.05,0,22.19,0,2%C,1.49
AGRICULTURAL MARKETING COMPANY LTD.,2024,5.51,0,0,0,90.9,0,44.11,0,32%C,1.42
AGRICULTURAL MARKETING COMPANY LTD.,2023,5.42,0,0,0,88.59,0,43.35,0,32%C,1.2
AGRICULTURAL MARKETING COMPANY LTD.,2022,5.62,0,0,0,86.59,0,44.93,0,32%C,1.16
AGRICULTURAL MARKETING COMPANY LTD.,2021,5.37,0,0,0,84.17,0,42.99,0,32%C,1.67
AGRICULTURAL MARKETING COMPANY LTD.,2020,5.7,0,0,0,81.99,0,45.58,0,32%C,1.78
AIBL 1ST ISLAMIC MUTUAL FUND,2023,0.05,0,0,0,10.06,0,5.13,0,0.60%,0.79
AIBL 1ST ISLAMIC MUTUAL FUND,2022,1,0,0,0,11.23,0,99.94,0,10%C,11.63
AIBL 1ST ISLAMIC MUTUAL FUND,2021,1.83,0,0,0,11.57,0,182.8,0,12.25%C,15.31
AIBL 1ST ISLAMIC MUTUAL FUND,2020,-0.62,0,0,0,9.41,0,-61.94,0,,0
AIBL 1ST ISLAMIC MUTUAL FUND,2019,0.79,0,0,0,11.35,0,78.56,0,8%C,10.96
AL-ARAFAH ISLAMI BANK PLC.,2023,2.14,0,0,0,22.63,0,2351.02,0,"10%C,5%B",4.13
AL-ARAFAH ISLAMI BANK PLC.,2022,1.95,0,0,0,22.75,0,2076.58,0,"12%C,3%B",5.08
AL-ARAFAH ISLAMI BANK PLC.,2021,1.96,0,0,0,22.73,0,2087.58,0,15%C,5.64
AL-ARAFAH ISLAMI BANK PLC.,2020,2.41,0,0,0,22.35,0,2565.24,0,15%C,6.76
AL-ARAFAH ISLAMI BANK PLC.,2019,2.28,0,0,0,21.13,0,2427.64,0,13%C,7.56
ALIF INDUSTRIES LIMITED,2024,2.36,0,0,0,24.56,0,104.35,0,"10%C,10%B",0.83
ALIF INDUSTRIES LIMITED,2023,1.8,0,0,0,23.2,0,79.66,0,17%C,2.18
ALIF INDUSTRIES LIMITED,2022,1.55,0,0,0,22.2,0,68.62,0,12%C,2.57
ALIF INDUSTRIES LIMITED,2021,0.44,0,0,0,14.18,0,114.84,0,2%C,1.68
ALIF INDUSTRIES LIMITED,2019,0.74,0,0,0,14.5,0,178.96,0,"2%C,8%B",1.92
ALLTEX INDUSTRIES LIMITED,2024,-0.01,0,0,0,19.92,0,-0.81,0,,0
ALLTEX INDUSTRIES LIMITED,2023,-2.7,0,0,0,5.5,0,-151.02,0,,0
ALLTEX INDUSTRIES LIMITED,2022,0.2,0,0,0,8.75,0,11.05,0,1%C,0.4
ALLTEX INDUSTRIES LIMITED,2021,-5.08,0,0,0,5.87,0,-284.26,0,,0
ALLTEX INDUSTRIES LIMITED,2020,-5.47,0,0,0,15.78,0,-306.38,0,,0
AMAN COTTON FIBROUS LIMITED,2024,-0.25,0,0,0,33.74,0,-25.23,0,10%C,5.95
AMAN COTTON FIBROUS LIMITED,2023,-0.94,0,0,0,34.5,0,-95.21,0,10%C,3.79
AMAN COTTON FIBROUS LIMITED,2022,0.76,0,0,0,35.14,0,76.41,0,10%C,3.61
AMAN COTTON FIBROUS LIMITED,2021,1.25,0,0,0,34.72,0,125.92,0,11%C,2.41
AMAN COTTON FIBROUS LIMITED,2020,0.48,0,0,0,39.68,0,48.74,0,10%C,5.38
AMAN FEED LIMITED,2024,0.19,0,0,0,28.17,0,24.47,0,10%C,4.17
AMAN FEED LIMITED,2023,0.22,0,0,0,28.37,0,28.52,0,10%C,2.97
AMAN FEED LIMITED,2022,0.84,0,0,0,32.52,0,110.28,0,10%C,2.85
AMAN FEED LIMITED,2021,2.53,0,0,0,32.23,0,331.49,0,15%C,2.81
AMAN FEED LIMITED,2020,2.71,0,0,0,34.8,0,346.27,0,"10%C,2.5%B",3.73
AMBEE PHARMACEUTICALS PLC,2024,4.03,0,0,0,12.26,0,9.68,0,10%C,0.13
AMBEE PHARMACEUTICALS PLC,2023,3.79,0,0,0,9.73,0,9.09,0,15%C,0.31
AMBEE PHARMACEUTICALS PLC,2022,3.36,0,0,0,21.96,0,8.06,0,10%C,0.19
AMBEE PHARMACEUTICALS PLC,2021,-5.42,0,0,0,18.68,0,-13.01,0,,0
AMBEE PHARMACEUTICALS PLC,2020,1.52,0,0,0,24.1,0,3.64,0,15%C,0.31
ANLIMA YARN DYEING LIMITED,2024,-1.8,0,0,0,8.62,0,-32.24,0,,0
ANLIMA YARN DYEING LIMITED,2023,0.08,0,0,0,10.42,0,1.45,0,,0
ANLIMA YARN DYEING LIMITED,2022,-0.18,0,0,0,10.34,0,-3.26,0,,0
ANLIMA YARN DYEING LIMITED,2021,0.05,0,0,0,10.63,0,0.83,0,2%C,0.2
ANLIMA YARN DYEING LIMITED,2020,0.14,0,0,0,10.69,0,2.56,0,2%C,0.67
ANWAR GALVANIZING LIMITED,2024,2.72,0,0,0,14.7,0,82.12,0,10%C,0.74
ANWAR GALVANIZING LIMITED,2023,1.97,0,0,0,12.98,0,59.52,0,10%C,0.45
ANWAR GALVANIZING LIMITED,2022,11.54,0,0,0,21.81,0,193.48,0,"20%C,80%B",0.99
ANWAR GALVANIZING LIMITED,2021,3.92,0,0,0,13.31,0,59.73,0,"20%C,10%B",0.96
ANWAR GALVANIZING LIMITED,2020,2.03,0,0,0,10.85,0,29.49,0,"10%C,5%B",1.48
APEX FOOTWEAR LIMITED,2024,12.34,0,0,0,474.37,0,176.43,0,"35%C,10%B",1.47
APEX FOOTWEAR LIMITED,2023,12.86,0,0,0,239.64,0,167.14,0,"35%C,10%B",1.12
APEX FOOTWEAR LIMITED,2022,11.7,0,0,0,252.95,0,138.23,0,"35%C,10%B",1.29
APEX FOOTWEAR LIMITED,2021,9.36,0,0,0,256.81,0,105.31,0,"35%C,5%B",1.49
APEX FOOTWEAR LIMITED,2020,5.62,0,0,0,249.95,0,63.23,0,25%C,1.14
APEX FOODS LIMITED,2024,5.66,0,0,0,127.82,0,32.25,0,20%C,0.88
APEX FOODS LIMITED,2023,8.91,0,0,0,136.2,0,50.83,0,20%C,0.47
APEX FOODS LIMITED,2022,5.14,0,0,0,126.18,0,29.32,0,20%C,1.1
APEX FOODS LIMITED,2021,2.07,0,0,0,119.39,0,11.81,0,20%C,1.61
APEX FOODS LIMITED,2020,1.88,0,0,0,120.63,0,10.74,0,15%C,1.25
APEX SPINNING & KNITTING MILLS LIMITED,2024,3.65,0,0,0,63.01,0,30.62,0,20%C,1.93
APEX SPINNING & KNITTING MILLS LIMITED,2023,3.51,0,0,0,64.37,0,29.48,0,20%C,1.4
APEX SPINNING & KNITTING MILLS LIMITED,2022,3.45,0,0,0,58.38,0,28.97,0,20%C,1.52
APEX SPINNING & KNITTING MILLS LIMITED,2021,2.93,0,0,0,55.81,0,24.64,0,20%C,1.61
APEX SPINNING & KNITTING MILLS LIMITED,2020,1.48,0,0,0,54.17,0,12.43,0,15%C,1.15
APEX TANNERY LIMITED,2024,-8.31,0,0,0,45.43,0,-126.64,0,5%C,0.56
APEX TANNERY LIMITED,2023,-8.17,0,0,0,54.85,0,-124.47,0,5%C,0.42
APEX TANNERY LIMITED,2022,0.82,0,0,0,63.39,0,12.51,0,10%C,0.66
APEX TANNERY LIMITED,2021,0.34,0,0,0,63.17,0,5.22,0,10%C,0.92
APEX TANNERY LIMITED,2020,-1.19,0,0,0,53.89,0,-18.17,0,12%C,1.12
APPOLLO ISPAT COMPLEX LTD.,2023,-0.82,0,0,0,0.7,0,-327.18,0,,0
APPOLLO ISPAT COMPLEX LTD.,2022,-2.29,0,0,0,1.51,0,-919.13,0,,0
APPOLLO ISPAT COMPLEX LTD.,2021,-11.54,0,0,0,3.8,0,-4630.65,0,,0
APPOLLO ISPAT COMPLEX LTD.,2020,-1.95,0,0,0,15.34,0,-783.54,0,,0
APPOLLO ISPAT COMPLEX LTD.,2019,-2.31,0,0,0,17.3,0,-926.4,0,,0
ARAMIT CEMENT LIMITED,2024,-14.47,0,0,0,-18.9,0,-490.27,0,,0
ARAMIT CEMENT LIMITED,2023,-17.14,0,0,0,-4.49,0,-580.79,0,,0
ARAMIT CEMENT LIMITED,2022,-16.88,0,0,0,12.58,0,-572.05,0,5%C,1.59
ARAMIT CEMENT LIMITED,2021,0.6,0,0,0,29.13,0,20.27,0,,0
ARAMIT CEMENT LIMITED,2020,-6.86,0,0,0,25.63,0,-232.3,0,,0
ARAMIT LIMITED,2024,2.09,0,0,0,136.1,0,12.51,0,20%C,0.88
ARAMIT LIMITED,2023,4.01,0,0,0,144.99,0,24.07,0,25%C,0.91
ARAMIT LIMITED,2022,8.25,0,0,0,152.28,0,49.52,0,50%C,1.81
ARAMIT LIMITED,2021,7.69,0,0,0,181.42,0,46.14,0,50%C,1.64
ARAMIT LIMITED,2020,3.36,0,0,0,137.66,0,20.15,0,50%C,2.41
ARGON DENIMS LIMITED,2024,0.75,0,0,0,23.89,0,104.7,0,10%C,6.29
ARGON DENIMS LIMITED,2023,0.68,0,0,0,24.13,0,94.55,0,10%C,5.32
ARGON DENIMS LIMITED,2022,0.52,0,0,0,24.44,0,71.62,0,10%C,5.18
ARGON DENIMS LIMITED,2021,0.71,0,0,0,26.15,0,93.97,0,"10%C,5%B",3.69
ARGON DENIMS LIMITED,2020,1.53,0,0,0,27.21,0,192.48,0,"5%C,5%B",2.6
ASIA INSURANCE PLC.,2023,2.02,0,0,0,27.4,0,95.02,0,11%C,2.24
ASIA INSURANCE PLC.,2022,2.09,0,0,0,26.88,0,98.22,0,11%C,2.25
ASIA INSURANCE PLC.,2021,3.29,0,0,0,26.57,0,155.07,0,15%C,1.3
