,Name,Performance Year,Basic EPS Based On Continuous operations,Basic EPS Based On Including Extra-Ordinary Income,Basic EPS (restated) Based On Continuous operations,Basic EPS (restated) Based On Including Extra-Ordinary Income,Net Asset Value Per Share,Restated Net Asset Value Per Share,Net Profit After Tax Continuous operations (mn),Net Profit After Tax Including Extra-Ordinary Income (mn),% Dividend,% Dividend Yield,% Cash Dividend,% Bonus Dividend,EPS,NAV,Price,Price Vs EPS Correlation,Price Vs NAV Correlation,Efficient(EPS),Efficient(NAV)
0,AAMRA TECHNOLOGIES LTD.,2020,1.46,0,0.0,0,23.48,0.0,85.11,0,10%C,4.35,10.0,0.0,1.46,23.48,22.98850574712644,0.1601347568396349,0.20098945347692596,Yes,Yes
1,AAMRA TECHNOLOGIES LTD.,2021,1.45,0,0.0,0,23.93,0.0,84.09,0,"5%C,5%B",1.91,5.0,5.0,1.3775,22.7335,24.869109947643977,0.1601347568396349,0.20098945347692596,Yes,Yes
2,AAMRA TECHNOLOGIES LTD.,2022,1.78,0,0.0,0,24.09,0.0,108.48,0,"6%C,6%B",1.82,6.0,6.0,1.6732,22.6446,30.989010989010985,0.1601347568396349,0.20098945347692596,Yes,Yes
3,AAMRA TECHNOLOGIES LTD.,2023,0.7,0,0.0,0,22.85,0.0,45.23,0,10%C,2.72,10.0,0.0,0.7,22.85,36.764705882352935,0.1601347568396349,0.20098945347692596,Yes,Yes
4,AAMRA TECHNOLOGIES LTD.,2024,-0.12,0,0.0,0,21.73,0.0,-7.91,0,1%C,0.46,1.0,0.0,-0.12,21.73,21.73913043478261,0.1601347568396349,0.20098945347692596,Yes,Yes
5,ACI FORMULATIONS PLC,2020,2.06,0,0.0,0,53.38,0.0,92.73,0,20%C,1.81,20.0,0.0,2.06,53.38,110.49723756906079,0.29773744557264087,0.4753420940346734,Yes,Yes
6,ACI FORMULATIONS PLC,2021,4.74,0,0.0,0,66.77,0.0,213.46,0,"30%C,5%B",2.02,30.0,5.0,4.503,63.4315,141.08910891089107,0.29773744557264087,0.4753420940346734,Yes,Yes
7,ACI FORMULATIONS PLC,2022,5.14,0,0.0,0,65.88,0.0,242.88,0,25%C,1.58,25.0,0.0,5.14,65.88,158.22784810126583,0.29773744557264087,0.4753420940346734,Yes,Yes
8,ACI FORMULATIONS PLC,2023,4.97,0,0.0,0,64.57,0.0,234.92,0,25%C,1.6,25.0,0.0,4.97,64.57,156.25,0.29773744557264087,0.4753420940346734,Yes,Yes
9,ACI FORMULATIONS PLC,2024,6.88,0,0.0,0,68.94,0.0,324.94,0,20%C,1.68,20.0,0.0,6.88,68.94,119.04761904761905,0.29773744557264087,0.4753420940346734,Yes,Yes
10,ADN TELECOM LIMITED,2020,2.86,0,0.0,0,25.27,0.0,161.47,0,15%C,4.67,15.0,0.0,2.86,25.27,32.11991434689507,0.6199075296639582,0.8930642993400469,Yes,Yes
11,ADN TELECOM LIMITED,2021,2.57,0,0.0,0,25.97,0.0,165.86,0,10%C,2.02,10.0,0.0,2.57,25.97,49.504950495049506,0.6199075296639582,0.8930642993400469,Yes,Yes
12,ADN TELECOM LIMITED,2022,2.59,0,0.0,0,27.56,0.0,167.63,0,10%C,1.52,10.0,0.0,2.59,27.56,65.78947368421053,0.6199075296639582,0.8930642993400469,Yes,Yes
13,ADN TELECOM LIMITED,2023,4.0,0,0.0,0,30.54,0.0,258.56,0,15%C,1.15,15.0,0.0,4.0,30.54,130.43478260869566,0.6199075296639582,0.8930642993400469,Yes,Yes
